OTU	Test-Statistic	P	FDR_P	Bonferroni_P	True_mean	False_mean
Microbacteriaceae Microbacterium lacticum	1.49182324473	0.186813186813	0.963075386152	1.0	0.032	0.0
Prevotellaceae Prevotella melaninogenica	-1.37242475577	0.191808191808	0.963075386152	1.0	3.84	12.6699029126
Peptoniphilaceae Anaerococcus sp	1.36364850826	0.191808191808	0.963075386152	1.0	9.304	4.32038834951
Bacteroidaceae Bacteroides vulgatus	-1.44268697827	0.191808191808	0.963075386152	1.0	0.032	0.436893203883
Actinomycetaceae Mobiluncus mulieris	1.31652223659	0.196803196803	0.963075386152	1.0	119.832	61.4951456311
Peptostreptococcaceae Paeniclostridium sp	-1.39824352351	0.198801198801	0.963075386152	1.0	0.0	0.0388349514563
Prevotellaceae Alloprevotella sp	-1.48452596801	0.1998001998	0.963075386152	1.0	0.0	0.0291262135922
Peptostreptococcaceae Peptostreptococcus anaerobius	1.37033169271	0.201798201798	0.963075386152	1.0	21.632	9.8932038835
Porphyromonadaceae Porphyromonas uenonis	-1.33806286266	0.202797202797	0.963075386152	1.0	5.432	10.6019417476
Corynebacteriaceae Corynebacterium aurimucosum	1.48570086601	0.203796203796	0.963075386152	1.0	3.28	0.485436893204
Intrasporangiaceae Janibacter sp	1.3425927065	0.203796203796	0.963075386152	1.0	0.416	0.0873786407767
Desulfovibrionaceae Desulfovibrio piger	-1.18432564013	0.205794205794	0.963075386152	1.0	0.0	0.135922330097
Spirochaetaceae Treponema sp	-1.48452596801	0.210789210789	0.963075386152	1.0	0.0	0.0291262135922
Corynebacteriaceae Corynebacterium massiliense	1.49182324473	0.211788211788	0.963075386152	1.0	0.032	0.0
Bacteroidaceae Bacteroides fragilis	-1.08571484887	0.212787212787	0.963075386152	1.0	0.176	2.14563106796
Aerococcaceae Aerococcus christensenii	-1.30789592736	0.222777222777	0.963075386152	1.0	22.848	36.9126213592
Fusobacteriaceae Fusobacterium equinum	-1.43256270399	0.223776223776	0.963075386152	1.0	1.6	6.66019417476
Prevotellaceae Prevotella buccalis	-1.26033782305	0.226773226773	0.963075386152	1.0	12.04	27.8640776699
Dermabacteraceae Dermabacter hominis	1.40578739602	0.231768231768	0.963075386152	1.0	0.288	0.0
Corynebacteriaceae Corynebacterium tuscaniense	1.32351756252	0.241758241758	0.963075386152	1.0	0.84	0.165048543689
Ruminococcaceae Gemmiger sp	-1.10215256751	0.241758241758	0.963075386152	1.0	0.0	0.0679611650485
Prevotellaceae Prevotella sp_DNF00663	-1.08448997116	0.248751248751	0.963075386152	1.0	3.208	27.9029126214
Peptococcaceae Peptococcus sp	1.18743679272	0.24975024975	0.963075386152	1.0	0.616	0.281553398058
Shewanellaceae Shewanella sp	1.37744075072	0.252747252747	0.963075386152	1.0	0.16	0.0485436893204
Coriobacteriaceae Collinsella aerofaciens	-1.10215256751	0.253746253746	0.963075386152	1.0	0.0	0.271844660194
Micrococcaceae Micrococcus lylae	1.41585026439	0.254745254745	0.963075386152	1.0	0.088	0.00970873786408
Peptoniphilaceae Peptoniphilus duerdenii	1.33429031796	0.267732267732	0.963075386152	1.0	0.608	0.21359223301
Verrucomicrobiaceae Akkermansia muciniphila	-1.10215256751	0.268731268731	0.963075386152	1.0	0.0	0.291262135922
Lachnospiraceae Moryella sp	-1.22566776146	0.274725274725	0.963075386152	1.0	1.096	2.88349514563
Micrococcaceae Pseudoglutamicibacter cumminsii	1.14775264016	0.276723276723	0.963075386152	1.0	0.4	0.116504854369
Prevotellaceae Prevotella intermedia	1.1071952155	0.280719280719	0.963075386152	1.0	2.808	0.184466019417
Prevotellaceae Massiliprevotella massiliensis	-1.08171170544	0.287712287712	0.963075386152	1.0	0.288	5.91262135922
Bifidobacteriaceae Bifidobacterium sp	-1.09308072414	0.290709290709	0.963075386152	1.0	0.92	2.06796116505
Enterobacteriaceae Escherichia/Shigella sp	-1.09713774303	0.296703296703	0.963075386152	1.0	0.416	27.6116504854
Veillonellaceae Megasphaera sp_KA00182	1.07777029891	0.304695304695	0.963075386152	1.0	27.184	15.6213592233
Prevotellaceae Paraprevotella sp	1.30245003442	0.308691308691	0.963075386152	1.0	1.624	0.0
Peptostreptococcaceae Peptostreptococcus sp	1.03831220746	0.30969030969	0.963075386152	1.0	0.472	0.21359223301
Neisseriaceae Neisseria sp	-1.11487837374	0.311688311688	0.963075386152	1.0	0.032	0.26213592233
Lachnospiraceae Ruminococcus gnavus	-1.10830358826	0.312687312687	0.963075386152	1.0	0.016	0.533980582524
Aerococcaceae Globicatella sp	1.17631567389	0.312687312687	0.963075386152	1.0	0.12	0.00970873786408
Actinomycetaceae Varibaculum sp	-1.13008852152	0.31968031968	0.963075386152	1.0	0.176	0.563106796117
Lachnospiraceae Syntrophococcus sp	1.01081353637	0.326673326673	0.963075386152	1.0	0.112	0.0582524271845
Prevotellaceae gen sp	-1.08898022777	0.328671328671	0.963075386152	1.0	0.112	1.18446601942
Prevotellaceae Prevotella timonensis	0.937422479659	0.330669330669	0.963075386152	1.0	91.56	62.4854368932
Coriobacteriaceae Atopobium sp	0.999437693309	0.331668331668	0.963075386152	1.0	15.376	11.5533980583
Coriobacteriaceae Atopobium vaginae	-0.937226262983	0.337662337662	0.963075386152	1.0	78.816	107.54368932
Bacteroidaceae Bacteroides caccae	-1.38334330348	0.33966033966	0.963075386152	1.0	0.008	0.0776699029126
Fusobacteriaceae Fusobacterium sp	-1.11299214517	0.340659340659	0.963075386152	1.0	0.872	3.02912621359
Sutterellaceae Parasutterella excrementihominis	-1.06643295891	0.340659340659	0.963075386152	1.0	0.008	0.252427184466
Alcaligenaceae Oligella urethralis	1.21372155009	0.343656343656	0.963075386152	1.0	0.048	0.00970873786408
Moraxellaceae Acinetobacter sp	1.17852232903	0.361638361638	0.963075386152	1.0	0.248	0.0679611650485
Lachnospiraceae Fusicatenibacter sp	-1.10215256751	0.361638361638	0.963075386152	1.0	0.0	0.0582524271845
Eubacteriaceae Eubacterium sp	1.15055615459	0.36963036963	0.963075386152	1.0	0.032	0.0
Ruminococcaceae Oscillibacter sp	-1.02204856857	0.371628371628	0.963075386152	1.0	0.296	2.43689320388
Peptoniphilaceae Anaerococcus obesiensis	-1.0424086294	0.373626373626	0.963075386152	1.0	0.224	0.495145631068
Acidaminococcaceae Acidaminococcus fermentans	-1.10215256751	0.380619380619	0.963075386152	1.0	0.0	0.281553398058
Lachnospiraceae Faecalimonas umbilicata	-1.10215256751	0.380619380619	0.963075386152	1.0	0.0	0.0194174757282
Peptococcaceae Peptococcus niger	-0.92565500145	0.385614385614	0.963075386152	1.0	0.96	1.7572815534
Fusobacteriaceae Fusobacterium nucleatum	0.872204940199	0.38961038961	0.963075386152	1.0	1.272	0.650485436893
Lachnospiraceae Roseburia faecis	-1.10215256751	0.390609390609	0.963075386152	1.0	0.0	0.368932038835
Bifidobacteriaceae Gardnerella	-0.875759557332	0.392607392607	0.963075386152	1.0	891.88	1026.18446602
Erysipelotrichaceae Clostridium_XVIII sp	-1.10215256751	0.395604395604	0.963075386152	1.0	0.0	0.0194174757282
Pasteurellaceae Haemophilus parainfluenzae	-0.913418836235	0.397602397602	0.963075386152	1.0	0.112	0.271844660194
Carnobacteriaceae Granulicatella elegans	1.08307367881	0.400599400599	0.963075386152	1.0	3.064	0.563106796117
Prevotellaceae Prevotella copri	-0.896017215342	0.402597402597	0.963075386152	1.0	2.368	5.04854368932
Halomonadaceae Halomonas sp	1.09223019383	0.406593406593	0.963075386152	1.0	0.96	0.466019417476
Mycoplasmataceae Mycoplasma salivarium	1.02775698619	0.406593406593	0.963075386152	1.0	0.064	0.0
Comamonadaceae Comamonas sp	-1.10215256751	0.40959040959	0.963075386152	1.0	0.0	0.00970873786408
Lachnospiraceae Roseburia intestinalis	-1.10215256751	0.410589410589	0.963075386152	1.0	0.0	0.184466019417
Sutterellaceae Sutterella wadsworthensis	-1.10215256751	0.416583416583	0.963075386152	1.0	0.0	0.0194174757282
Streptococcaceae Streptococcus agalactiae	1.0894174607	0.417582417582	0.963075386152	1.0	14.944	3.54368932039
Prevotellaceae Prevotella sp_KA00344	-0.889205212502	0.41958041958	0.963075386152	1.0	0.088	0.203883495146
Carnobacteriaceae Granulicatella adiacens	-1.10215256751	0.424575424575	0.963075386152	1.0	0.0	0.0485436893204
Spirochaetaceae Sphaerochaeta sp	-1.10215256751	0.425574425574	0.963075386152	1.0	0.0	0.0194174757282
Acidaminococcaceae Acidaminococcus sp	-1.10215256751	0.425574425574	0.963075386152	1.0	0.0	0.0194174757282
Lachnospiraceae Clostridium_XlVa sp	-1.10215256751	0.426573426573	0.963075386152	1.0	0.0	0.0485436893204
Bacteroidaceae Bacteroides sp	-1.10215256751	0.427572427572	0.963075386152	1.0	0.0	0.0194174757282
Synergistaceae Fretibacterium sp	1.05657469765	0.430569430569	0.963075386152	1.0	0.104	0.0
Ruminococcaceae Marseillibacter massiliensis	-1.03929668915	0.432567432567	0.963075386152	1.0	0.008	0.145631067961
Micrococcaceae Rothia mucilaginosa	-1.03464243777	0.432567432567	0.963075386152	1.0	0.008	0.135922330097
Erysipelotrichaceae Turicibacter sanguinis	-0.97655142727	0.450549450549	0.963075386152	1.0	0.016	0.0873786407767
Brevibacteriaceae Brevibacterium luteolum	1.22133922998	0.451548451548	0.963075386152	1.0	0.048	0.0
Campylobacteraceae Campylobacter sp	0.988960167029	0.453546453546	0.963075386152	1.0	1.24	0.242718446602
Veillonellaceae Selenomonas sp	-1.09672092449	0.455544455544	0.963075386152	1.0	0.016	3.25242718447
Actinomycetaceae Actinomyces sp	-1.10215256751	0.456543456543	0.963075386152	1.0	0.0	0.145631067961
Ruminococcaceae Intestinimonas sp	-1.10215256751	0.458541458541	0.963075386152	1.0	0.0	0.106796116505
Dermabacteraceae Dermabacter sp	0.998689452773	0.473526473526	0.963075386152	1.0	0.784	0.0388349514563
Corynebacteriaceae Corynebacterium sp	0.840462786982	0.474525474525	0.963075386152	1.0	9.056	4.88349514563
Corynebacteriaceae Corynebacterium pseudogenitalium	1.0119102568	0.474525474525	0.963075386152	1.0	10.664	1.08737864078
Neisseriaceae Neisseria gonorrhoeae	1.00915216677	0.480519480519	0.963075386152	1.0	0.456	0.00970873786408
Lachnospiraceae gen sp	-1.00385616201	0.486513486513	0.963075386152	1.0	0.712	3.85436893204
Veillonellaceae Mitsuokella sp	1.10246742327	0.491508491508	0.963075386152	1.0	0.04	0.0
Clostridiaceae_1 Clostridium ventriculi	1.00293407603	0.492507492507	0.963075386152	1.0	0.08	0.0
Leptotrichiaceae Sneathia amnii	-0.66235382963	0.5004995005	0.963075386152	1.0	122.744	154.504854369
Coriobacteriaceae Paraeggerthella sp	0.994369362517	0.5004995005	0.963075386152	1.0	0.144	0.0291262135922
Ruminococcaceae gen sp	-0.945264055276	0.501498501499	0.963075386152	1.0	0.192	0.805825242718
Veillonellaceae Veillonella sp	-0.854895876877	0.504495504496	0.963075386152	1.0	0.176	0.533980582524
Ruminococcaceae Saccharofermentans sp	1.06504282772	0.505494505495	0.963075386152	1.0	0.176	0.00970873786408
Porphyromonadaceae Tannerella forsythia	1.26303510459	0.506493506494	0.963075386152	1.0	0.04	0.0
Coriobacteriaceae gen sp	1.28555087222	0.508491508492	0.963075386152	1.0	0.12	0.0
Porphyromonadaceae Porphyromonas endodontalis	1.28845083275	0.509490509491	0.963075386152	1.0	0.048	0.0
Corynebacteriaceae Corynebacterium pyruviciproducens	0.646507468259	0.512487512488	0.963075386152	1.0	0.328	0.184466019417
Prevotellaceae Prevotella bivia	-0.671001772792	0.514485514486	0.963075386152	1.0	97.584	132.339805825
Pasteurellaceae Pasteurella bettyae	0.989059511414	0.517482517483	0.963075386152	1.0	0.312	0.0194174757282
Sutterellaceae Sutterella morbirenis	-0.962121565308	0.518481518482	0.963075386152	1.0	0.136	0.611650485437
Prevotellaceae Prevotella sp_S7-1-8	0.704764389945	0.519480519481	0.963075386152	1.0	46.04	32.213592233
Peptostreptococcaceae Filifactor alocis	0.959739863037	0.519480519481	0.963075386152	1.0	0.512	0.0485436893204
Lachnospiraceae Oribacterium sp	0.907391205725	0.524475524476	0.963075386152	1.0	0.008	0.0
Veillonellaceae Dialister propionicifaciens	0.910046209823	0.529470529471	0.963075386152	1.0	0.84	0.291262135922
Brevibacteriaceae Brevibacterium paucivorans	0.978319000156	0.53046953047	0.963075386152	1.0	0.12	0.0291262135922
Dermabacteraceae Brachybacterium sp	-0.985678287288	0.531468531469	0.963075386152	1.0	0.056	0.300970873786
Prevotellaceae Prevotella corporis	-0.635604208716	0.536463536464	0.963075386152	1.0	5.944	10.3786407767
Clostridiales_Incertae_Sedis_XIII Congobacterium massiliense	-0.930160950007	0.536463536464	0.963075386152	1.0	0.048	0.203883495146
Porphyromonadaceae Porphyromonas somerae	0.649578755258	0.538461538462	0.963075386152	1.0	0.104	0.0582524271845
Bacillales_Incertae_Sedis_XI Gemella asaccharolytica	-0.69604602111	0.539460539461	0.963075386152	1.0	14.808	22.1844660194
Clostridiaceae_1 Clostridium sp	0.6682701947	0.545454545455	0.963075386152	1.0	0.48	0.223300970874
Prevotellaceae Prevotella disiens	-0.903840363095	0.551448551449	0.963075386152	1.0	12.864	25.9902912621
Clostridiales_Incertae_Sedis_XI gen sp	-0.669145657331	0.553446553447	0.963075386152	1.0	0.048	0.0776699029126
Mycoplasmataceae Ureaplasma sp	0.95941730565	0.554445554446	0.963075386152	1.0	5.872	1.35922330097
Bifidobacteriaceae gen sp	0.639757297281	0.556443556444	0.963075386152	1.0	0.456	0.320388349515
Veillonellaceae Dialister sp_DNF00626	0.626820668831	0.561438561439	0.965531284003	1.0	16.704	13.4077669903
Porphyromonadaceae Porphyromonas sp_KA00251	0.732393792396	0.587412587413	0.985663272897	1.0	0.784	0.398058252427
Prevotellaceae Metaprevotella massiliensis	-0.51780905658	0.59040959041	0.985663272897	1.0	0.152	0.223300970874
Prevotellaceae Prevotella brunnea	-0.579712540127	0.593406593407	0.985663272897	1.0	0.128	0.203883495146
Sutterellaceae Sutterella sp	0.828939633819	0.601398601399	0.985663272897	1.0	0.096	0.0388349514563
Lactobacillaceae Lactobacillus non_iners	-0.534926829166	0.604395604396	0.985663272897	1.0	473.768	566.165048544
Peptoniphilaceae Parvimonas sp	0.676248366403	0.609390609391	0.985663272897	1.0	1.576	1.03883495146
Desulfobacteraceae Desulfatiglans anilini	0.907391205725	0.612387612388	0.985663272897	1.0	0.112	0.0
Actinomycetaceae Mobiluncus sp	0.574342390557	0.614385614386	0.985663272897	1.0	1.592	1.16504854369
Micrococcaceae Micrococcus sp	0.677875672276	0.616383616384	0.985663272897	1.0	0.232	0.135922330097
Lachnospiraceae Candidatus_Lachnocurva vaginae_(BVAB1)	0.502531275254	0.618381618382	0.985663272897	1.0	320.528	278.029126214
Peptostreptococcaceae Romboutsia sp	-0.699151693916	0.624375624376	0.985663272897	1.0	0.144	0.330097087379
Veillonellaceae Veillonella montpellierensis	-0.707415383286	0.63036963037	0.985663272897	1.0	11.336	19.2038834951
Staphylococcaceae Staphylococcus sp	-0.25764999359	0.63036963037	0.985663272897	1.0	5.88	7.85436893204
Ruminococcaceae Faecalibacterium prausnitzii	-0.65855915527	0.636363636364	0.985663272897	1.0	0.2	0.436893203883
Actinomycetaceae Actinomyces funkei	-0.959973555818	0.645354645355	0.985663272897	1.0	0.024	0.194174757282
Peptoniphilaceae Parvimonas sp_KA00581	0.520125721954	0.647352647353	0.985663272897	1.0	4.232	3.55339805825
Brevibacteriaceae gen sp	0.907391205725	0.647352647353	0.985663272897	1.0	0.112	0.0
Carnobacteriaceae Granulicatella sp	0.907391205725	0.656343656344	0.985663272897	1.0	0.112	0.0
Ruminococcaceae Sporobacter sp	-0.579547600564	0.661338661339	0.985663272897	1.0	0.048	0.116504854369
Aerococcaceae Facklamia sp	0.714332637229	0.665334665335	0.985663272897	1.0	0.152	0.0679611650485
Actinomycetaceae Actinomyces hongkongensis	-0.42582007459	0.666333666334	0.985663272897	1.0	0.808	0.941747572816
Actinomycetaceae Mobiluncus curtisii	-0.465220938888	0.668331668332	0.985663272897	1.0	6.416	8.09708737864
Prevotellaceae Prevotella colorans	-0.468706540509	0.668331668332	0.985663272897	1.0	2.568	3.47572815534
Sutterellaceae Sutterella stercoricanis	-0.877150303174	0.668331668332	0.985663272897	1.0	0.032	0.126213592233
Coriobacteriaceae Atopobium deltae	0.467685663497	0.669330669331	0.985663272897	1.0	0.184	0.135922330097
Peptostreptococcaceae Criibacterium bergeronii	0.496272059195	0.67032967033	0.985663272897	1.0	0.264	0.184466019417
Mycoplasmataceae Mycoplasma hominis	-0.461968949274	0.678321678322	0.985663272897	1.0	2.88	3.72815533981
Coriobacteriaceae Parvibacter sp	-0.429755001529	0.681318681319	0.985663272897	1.0	0.184	0.281553398058
Peptoniphilaceae Anaerococcus lactolyticus	-0.894041723017	0.684315684316	0.985663272897	1.0	0.624	2.43689320388
Lachnospiraceae Dorea formicigenerans	-0.479672489282	0.686313686314	0.985663272897	1.0	0.056	0.0970873786408
Veillonellaceae Negativicoccus succinicivorans	-0.671216036106	0.686313686314	0.985663272897	1.0	0.032	0.0582524271845
Clostridiales_Incertae_Sedis_XIII Casaltella massiliensis	0.681807220686	0.7002997003	0.996582365003	1.0	0.216	0.116504854369
Veillonellaceae Dialister micraerophilus	0.414420829445	0.701298701299	0.996582365003	1.0	4.192	3.73786407767
Coriobacteriaceae Coriobacteriaceae sp_DNF00809	-0.391895128308	0.708291708292	0.996829257699	1.0	11.064	12.2330097087
Moraxellaceae Moraxella osloensis	-0.458306521818	0.727272727273	0.996829257699	1.0	0.032	0.0485436893204
Corynebacteriaceae Corynebacterium riegelii	0.854586000167	0.729270729271	0.996829257699	1.0	1.112	0.281553398058
Lachnospiraceae Fusicatenibacter saccharivorans	-0.975418414103	0.731268731269	0.996829257699	1.0	0.024	0.223300970874
Campylobacteraceae Campylobacter hominis	0.382179521561	0.732267732268	0.996829257699	1.0	0.032	0.0194174757282
Clostridiaceae_1 Clostridium perfringens	-0.758338564989	0.738261738262	0.996829257699	1.0	0.016	0.0582524271845
Carnobacteriaceae Trichococcus sp	0.510308956351	0.743256743257	0.996829257699	1.0	0.04	0.0194174757282
Streptococcaceae Streptococcus sp	-0.453764723179	0.745254745255	0.996829257699	1.0	12.656	17.6699029126
Lachnospiraceae Moryella indoligenes	0.3750402982	0.745254745255	0.996829257699	1.0	0.12	0.0776699029126
Peptoniphilaceae Finegoldia sp	0.354560029447	0.746253746254	0.996829257699	1.0	0.136	0.0970873786408
Lachnospiraceae Blautia obeum	-0.435895230386	0.747252747253	0.996829257699	1.0	0.072	0.135922330097
Chlamydiaceae Chlamydia trachomatis	0.885707297097	0.755244755245	0.996829257699	1.0	0.104	0.00970873786408
Erysipelotrichaceae Bulleidia sp	0.378202822757	0.757242757243	0.996829257699	1.0	0.304	0.26213592233
Peptoniphilaceae Parvimonas micra	-0.550581969976	0.76023976024	0.996829257699	1.0	0.048	0.106796116505
Peptoniphilaceae Peptoniphilus coxii	0.451238103643	0.761238761239	0.996829257699	1.0	3.0	2.05825242718
Peptoniphilaceae Anaerococcus hydrogenalis	0.324346574138	0.762237762238	0.996829257699	1.0	0.096	0.0679611650485
Peptostreptococcaceae Peptostreptococcus stomatis	0.756153201429	0.764235764236	0.996829257699	1.0	13.392	5.80582524272
Flavobacteriaceae Chryseobacterium sp	-0.436030822777	0.771228771229	1.0	1.0	0.024	0.0388349514563
Lawsonellaceae Lawsonella clevelandensis	0.341164780152	0.785214785215	1.0	1.0	0.56	0.466019417476
Coriobacteriaceae Slackia exigua	-0.32757774878	0.785214785215	1.0	1.0	0.088	0.116504854369
Campylobacteraceae Campylobacter ureolyticus	-0.351093719815	0.812187812188	1.0	1.0	0.16	0.194174757282
Veillonellaceae Dialister sp	0.222128538128	0.815184815185	1.0	1.0	2.768	2.61165048544
Prevotellaceae Prevotella sp	0.208229732466	0.818181818182	1.0	1.0	178.064	165.932038835
Peptostreptococcaceae Terrisporobacter sp	0.907391205725	0.823176823177	1.0	1.0	0.096	0.0
Peptoniphilaceae Finegoldia magna	0.28905836794	0.824175824176	1.0	1.0	1.152	0.980582524272
Ruminococcaceae Mageeibacillus indolicus	0.294874955874	0.826173826174	1.0	1.0	4.728	3.99029126214
Lachnospiraceae Catonella sp	0.907391205725	0.828171828172	1.0	1.0	0.008	0.0
Lachnospiraceae Clostridiales sp_DNF00545	-0.225400227537	0.83016983017	1.0	1.0	0.712	0.776699029126
Porphyromonadaceae Porphyromonadaceae sp_DNF00129	-0.175424854591	0.835164835165	1.0	1.0	14.368	16.2038834951
Prevotellaceae Prevotella bergensis	-0.221293172811	0.84015984016	1.0	1.0	0.152	0.174757281553
Staphylococcaceae Nosocomiicoccus massiliensis	0.613248903926	0.845154845155	1.0	1.0	0.032	0.00970873786408
Actinomycetaceae Actinomyces neuii	0.890391445905	0.848151848152	1.0	1.0	1.344	0.0485436893204
Prevotellaceae Prevotella ihumii	-0.521140762938	0.863136863137	1.0	1.0	12.256	22.1844660194
Actinomycetaceae gen sp	0.291876946012	0.863136863137	1.0	1.0	0.04	0.0291262135922
Tissierellia_incertae_sedis Ezakiella sp	0.182461269104	0.882117882118	1.0	1.0	0.888	0.805825242718
Dermabacteraceae Helcobacillus sp	-0.223236591755	0.884115884116	1.0	1.0	0.072	0.0873786407767
Leptotrichiaceae Sneathia sp	0.666369709978	0.905094905095	1.0	1.0	18.28	8.09708737864
Actinomycetaceae Arcanobacterium sp	0.336512573399	0.905094905095	1.0	1.0	4.512	3.26213592233
Porphyromonadaceae gen sp	0.33329945705	0.906093906094	1.0	1.0	16.056	12.3689320388
Lachnospiraceae Roseburia sp	0.413908801434	0.906093906094	1.0	1.0	0.216	0.126213592233
Peptoniphilaceae Peptoniphilus massiliensis	0.136166001332	0.91008991009	1.0	1.0	1.48	1.38834951456
Peptostreptococcaceae Peptoanaerobacter stomatis	0.433566595247	0.912087912088	1.0	1.0	0.04	0.0194174757282
Clostridiales_Incertae_Sedis_XI Fenollaria massiliensis	-0.0664190854645	0.914085914086	1.0	1.0	2.28	2.38834951456
Erysipelotrichaceae Holdemanella sp	-0.165691157323	0.922077922078	1.0	1.0	0.032	0.0388349514563
Corynebacteriaceae Corynebacterium tuberculostearicum	0.135074489992	0.923076923077	1.0	1.0	1.792	1.65048543689
Veillonellaceae Mitsuokella jalaludinii	0.907391205725	0.926073926074	1.0	1.0	0.048	0.0
Veillonellaceae Dialister pneumosintes	-0.033924789146	0.93006993007	1.0	1.0	0.056	0.0582524271845
Lachnospiraceae Murimonas sp	0.907391205725	0.937062937063	1.0	1.0	0.048	0.0
Ruminococcaceae Gemmiger formicilis	-0.13710463115	0.939060939061	1.0	1.0	0.072	0.0873786407767
Synergistaceae Jonquetella anthropi	0.845938511766	0.943056943057	1.0	1.0	1.496	0.174757281553
Bifidobacteriaceae Bifidobacterium bifidum	0.688059501559	0.95004995005	1.0	1.0	1.264	0.330097087379
Peptoniphilaceae Peptoniphilus sp	-0.0629735163327	0.951048951049	1.0	1.0	3.384	3.45631067961
Peptoniphilaceae Murdochiella sp	-0.0673867446719	0.956043956044	1.0	1.0	0.168	0.174757281553
Porphyromonadaceae Porphyromonas gingivalis	0.804018018628	0.96003996004	1.0	1.0	15.192	1.72815533981
Lachnospiraceae Blautia faecis	-0.072713766122	0.968031968032	1.0	1.0	0.08	0.0873786407767
Pasteurellaceae Haemophilus sp	0.0449127706561	0.973026973027	1.0	1.0	3.472	3.27184466019
