OTU	Test-Statistic	P	FDR_P	Bonferroni_P	3_willreturn_mean	3_wontreturn_mean
Actinomycetaceae Mobiluncus sp	-1.37570102631	0.196803196803	1.0	1.0	0.903225806452	2.96666666667
Clostridiales_Incertae_Sedis_XIII Casaltella massiliensis	-1.29969891546	0.218781218781	1.0	1.0	0.0	0.133333333333
Lachnospiraceae Moryella indoligenes	-1.17674478767	0.220779220779	1.0	1.0	0.0	0.233333333333
Lachnospiraceae gen sp	-1.25560531054	0.222777222777	1.0	1.0	0.0322580645161	0.666666666667
Prevotellaceae Prevotella sp_KA00344	-1.31776413302	0.237762237762	1.0	1.0	0.0	0.5
Halomonadaceae Halomonas sp	1.17828483983	0.241758241758	1.0	1.0	1.51612903226	0.333333333333
Peptostreptococcaceae Criibacterium bergeronii	1.30458888931	0.243756243756	1.0	1.0	0.483870967742	0.0
Actinomycetaceae Actinomyces hongkongensis	-1.20803701409	0.247752247752	1.0	1.0	0.935483870968	1.8
Leptotrichiaceae Sneathia amnii	-1.24370246446	0.251748251748	1.0	1.0	57.8064516129	146.5
Mycoplasmataceae Mycoplasma spermatophilum	-1.46345009572	0.261738261738	1.0	1.0	0.0	0.0666666666667
Veillonellaceae Dialister micraerophilus	1.18364277362	0.267732267732	1.0	1.0	7.41935483871	3.9
Lachnospiraceae Blautia sp	-1.03282061401	0.26973026973	1.0	1.0	0.0967741935484	2.6
Peptoniphilaceae Parvimonas sp	1.21915646259	0.270729270729	1.0	1.0	0.58064516129	0.166666666667
Peptococcaceae Peptococcus niger	-1.09296441142	0.271728271728	1.0	1.0	0.451612903226	1.3
Erysipelotrichaceae Bulleidia sp	-1.23891440836	0.273726273726	1.0	1.0	0.161290322581	0.4
Veillonellaceae Dialister sp	-1.13919076939	0.281718281718	1.0	1.0	2.83870967742	4.56666666667
Prevotellaceae Prevotella buccalis	-1.17868469129	0.284715284715	1.0	1.0	22.064516129	75.0666666667
Coriobacteriaceae Collinsella aerofaciens	-1.01681732258	0.294705294705	1.0	1.0	0.0	0.933333333333
Lactobacillaceae Lactobacillus iners	1.0352204353	0.322677322677	1.0	1.0	378.612903226	248.066666667
Peptoniphilaceae Peptoniphilus massiliensis	-1.00676994687	0.328671328671	1.0	1.0	1.0	2.26666666667
Ruminococcaceae Oscillibacter sp	-1.13152897919	0.346653346653	1.0	1.0	0.0322580645161	0.2
Porphyromonadaceae Porphyromonas uenonis	-1.10319169677	0.35964035964	1.0	1.0	4.25806451613	12.4666666667
Lachnospiraceae Fusicatenibacter saccharivorans	-1.01681732258	0.37962037962	1.0	1.0	0.0	0.766666666667
Prevotellaceae Prevotella disiens	-1.01233326072	0.380619380619	1.0	1.0	3.77419354839	7.76666666667
Peptostreptococcaceae Romboutsia sp	-1.01793508649	0.384615384615	1.0	1.0	0.0322580645161	0.933333333333
Prevotellaceae Prevotella corporis	1.03725261046	0.400599400599	1.0	1.0	18.1935483871	2.06666666667
Bacteroidaceae Bacteroides sp	-1.01681732258	0.413586413586	1.0	1.0	0.0	0.0666666666667
Lachnospiraceae Enterocloster sp	-1.01681732258	0.415584415584	1.0	1.0	0.0	0.0666666666667
Prevotellaceae Prevotella sp_DNF00663	-1.00037670181	0.417582417582	1.0	1.0	0.806451612903	2.33333333333
Dermabacteraceae Dermabacter sp	1.08001839632	0.417582417582	1.0	1.0	0.354838709677	0.0
Lachnospiraceae Blautia faecis	-1.01681732258	0.422577422577	1.0	1.0	0.0	0.133333333333
Veillonellaceae Megasphaera elsdenii	-1.01681732258	0.432567432567	1.0	1.0	0.0	0.0666666666667
Sutterellaceae Sutterella wadsworthensis	-1.01681732258	0.437562437562	1.0	1.0	0.0	0.0666666666667
Erysipelotrichaceae Clostridium_XVIII sp	-1.01681732258	0.437562437562	1.0	1.0	0.0	0.0666666666667
Lachnospiraceae Ruminococcus gnavus	-1.01681732258	0.438561438561	1.0	1.0	0.0	0.0666666666667
Porphyromonadaceae Porphyromonas sp_KA00251	-1.01723529587	0.440559440559	1.0	1.0	0.0645161290323	0.866666666667
Coriobacteriaceae Paraeggerthella sp	1.13171466362	0.441558441558	1.0	1.0	0.58064516129	0.1
Succinivibrionaceae Succinivibrio sp	-1.01681732258	0.444555444555	1.0	1.0	0.0	0.0666666666667
Bacteroidaceae Bacteroides caccae	-1.01681732258	0.447552447552	1.0	1.0	0.0	0.133333333333
Erysipelotrichaceae Holdemanella sp	-1.01681732258	0.448551448551	1.0	1.0	0.0	0.0333333333333
Lachnospiraceae Faecalimonas umbilicata	-1.01681732258	0.448551448551	1.0	1.0	0.0	0.0666666666667
Lachnospiraceae Roseburia inulinivorans	-1.01681732258	0.450549450549	1.0	1.0	0.0	0.0333333333333
Ruminococcaceae Flavonifractor plautii	-1.01681732258	0.452547452547	1.0	1.0	0.0	0.0333333333333
Enterobacteriaceae Enterobacter sp	-1.01681732258	0.454545454545	1.0	1.0	0.0	0.0666666666667
Clostridiales_Incertae_Sedis_XIII Congobacterium massiliense	-1.01681732258	0.454545454545	1.0	1.0	0.0	0.0333333333333
Acidaminococcaceae Acidaminococcus sp	-1.01681732258	0.454545454545	1.0	1.0	0.0	0.0666666666667
Erysipelotrichaceae Turicibacter sanguinis	-1.01681732258	0.456543456543	1.0	1.0	0.0	0.266666666667
Corynebacteriaceae Corynebacterium jeikeium	1.01769507384	0.457542457542	1.0	1.0	1.96774193548	0.0666666666667
Prevotellaceae Prevotella bergensis	-0.819853012022	0.457542457542	1.0	1.0	0.129032258065	0.266666666667
Actinomycetaceae Varibaculum sp	-1.06236159849	0.462537462537	1.0	1.0	0.193548387097	1.5
Lachnospiraceae Clostridium_XlVa sp	-1.01681732258	0.466533466533	1.0	1.0	0.0	0.166666666667
Actinomycetaceae Mobiluncus curtisii	0.780958730623	0.468531468531	1.0	1.0	17.5806451613	10.6
Desulfovibrionaceae Desulfovibrio piger	-1.01681732258	0.468531468531	1.0	1.0	0.0	0.0333333333333
Fusobacteriaceae Fusobacterium nucleatum	0.987341633867	0.471528471528	1.0	1.0	0.129032258065	0.0333333333333
Synergistaceae Jonquetella anthropi	1.33741608617	0.471528471528	1.0	1.0	0.0967741935484	0.0
Lachnospiraceae Syntrophococcus sp	0.987341633867	0.472527472527	1.0	1.0	0.129032258065	0.0333333333333
Peptostreptococcaceae Paeniclostridium sp	-1.01681732258	0.472527472527	1.0	1.0	0.0	0.1
Lachnospiraceae Roseburia faecis	-1.01681732258	0.473526473526	1.0	1.0	0.0	1.26666666667
Prevotellaceae Metaprevotella massiliensis	-1.01681732258	0.475524475524	1.0	1.0	0.0	0.1
Sutterellaceae Duodenibacillus massiliensis	-1.01681732258	0.476523476523	1.0	1.0	0.0	0.3
Bacteroidaceae Bacteroides vulgatus	-1.01681732258	0.478521478521	1.0	1.0	0.0	0.8
Clostridiaceae_1 Clostridium sp	-1.01681732258	0.47952047952	1.0	1.0	0.0	0.7
Acidaminococcaceae Acidaminococcus fermentans	-1.01681732258	0.484515484515	1.0	1.0	0.0	0.966666666667
Lachnospiraceae Roseburia intestinalis	-1.01681732258	0.487512487512	1.0	1.0	0.0	0.633333333333
Verrucomicrobiaceae Akkermansia muciniphila	-1.01681732258	0.494505494505	1.0	1.0	0.0	1.0
Lachnospiraceae Fusicatenibacter sp	-1.01681732258	0.496503496503	1.0	1.0	0.0	0.2
Corynebacteriaceae Corynebacterium aurimucosum	1.02089688513	0.498501498501	1.0	1.0	3.45161290323	0.133333333333
Prevotellaceae Prevotellamassilia timonensis	1.41461322709	0.498501498501	1.0	1.0	0.0645161290323	0.0
Coriobacteriaceae gen sp	1.41126476975	0.4995004995	1.0	1.0	0.483870967742	0.0
Moraxellaceae Acinetobacter sp	1.08658306978	0.501498501499	1.0	1.0	0.322580645161	0.0333333333333
Micrococcaceae Pseudoglutamicibacter cumminsii	1.02185011098	0.502497502498	1.0	1.0	0.870967741935	0.0
Porphyromonadaceae Porphyromonas bennonis	-0.848364918933	0.504495504496	1.0	1.0	0.483870967742	1.1
Veillonellaceae Megasphaera sp	-0.697589372105	0.507492507493	1.0	1.0	8.83870967742	12.5333333333
Carnobacteriaceae Granulicatella elegans	1.29432117953	0.51048951049	1.0	1.0	4.61290322581	0.0
Veillonellaceae Veillonella sp	-1.01681732258	0.51048951049	1.0	1.0	0.0	1.43333333333
Actinomycetaceae gen sp	-1.01681732258	0.512487512488	1.0	1.0	0.0	0.1
Lachnospiraceae Anaerostipes hadrus	-1.01681732258	0.514485514486	1.0	1.0	0.0	0.1
Veillonellaceae Veillonella dispar	-1.01681732258	0.52047952048	1.0	1.0	0.0	1.5
Acidaminococcaceae Succiniclasticum sp	-1.01681732258	0.523476523477	1.0	1.0	0.0	0.2
Prevotellaceae Prevotella copri	-0.644939015784	0.526473526474	1.0	1.0	0.451612903226	0.8
Campylobacteraceae Campylobacter ureolyticus	-0.757810265229	0.535464535465	1.0	1.0	0.129032258065	0.3
Corynebacteriaceae Corynebacterium tuberculostearicum	-0.942948038786	0.552447552448	1.0	1.0	0.58064516129	2.83333333333
Prevotellaceae Prevotella timonensis	0.643478401151	0.554445554446	1.0	1.0	168.387096774	118.4
Bacillales_Incertae_Sedis_XI Gemella asaccharolytica	-0.731895693919	0.559440559441	1.0	1.0	8.61290322581	15.6
Peptostreptococcaceae Peptostreptococcus sp	-0.804662802763	0.564435564436	1.0	1.0	0.129032258065	0.366666666667
Lachnospiraceae Clostridiales sp_DNF00545	-0.600725680704	0.572427572428	1.0	1.0	0.967741935484	1.43333333333
Peptoniphilaceae Peptoniphilus lacrimalis	0.616644487281	0.585414585415	1.0	1.0	1.58064516129	1.0
Veillonellaceae Dialister sp_DNF00626	0.707503925952	0.598401598402	1.0	1.0	28.1935483871	17.8333333333
Peptoniphilaceae Peptoniphilus sp	-0.553256963465	0.601398601399	1.0	1.0	3.61290322581	5.2
Aerococcaceae Aerococcus sp	-0.63443936685	0.604395604396	1.0	1.0	0.806451612903	1.43333333333
Veillonellaceae Dialister propionicifaciens	0.917769600758	0.609390609391	1.0	1.0	2.41935483871	0.4
Fusobacteriaceae Fusobacterium equinum	-0.960160536409	0.625374625375	1.0	1.0	0.258064516129	2.46666666667
Coriobacteriaceae Atopobium deltae	-0.829713630165	0.632367632368	1.0	1.0	0.0645161290323	0.233333333333
Coriobacteriaceae Atopobium sp	0.46740511701	0.634365634366	1.0	1.0	28.3870967742	23.5333333333
Actinomycetaceae Mobiluncus mulieris	-0.552145064881	0.643356643357	1.0	1.0	34.5161290323	53.2333333333
Peptostreptococcaceae Peptostreptococcus stomatis	0.895550478177	0.644355644356	1.0	1.0	42.064516129	9.1
Peptoniphilaceae Peptoniphilus duerdenii	0.907355234581	0.644355644356	1.0	1.0	0.774193548387	0.2
Coriobacteriaceae Atopobium vaginae	0.444053840722	0.653346653347	1.0	1.0	207.580645161	174.966666667
Corynebacteriaceae Corynebacterium pyruviciproducens	0.980750417782	0.667332667333	1.0	1.0	0.645161290323	0.0333333333333
Coriobacteriaceae Coriobacteriaceae sp_DNF00809	0.427571629627	0.681318681319	1.0	1.0	19.5806451613	17.0
Ruminococcaceae Faecalibacterium prausnitzii	-0.990969891292	0.689310689311	1.0	1.0	0.0645161290323	1.26666666667
Prevotellaceae Prevotella colorans	-0.357351883142	0.691308691309	1.0	1.0	5.58064516129	8.06666666667
Corynebacteriaceae Corynebacterium sp	0.71018275866	0.704295704296	1.0	1.0	9.22580645161	3.26666666667
Coriobacteriaceae Slackia exigua	-0.606522787266	0.707292707293	1.0	1.0	0.0967741935484	0.266666666667
Veillonellaceae Dialister pneumosintes	-0.747774114822	0.727272727273	1.0	1.0	0.0322580645161	0.133333333333
Peptoniphilaceae Anaerococcus obesiensis	-0.620234954383	0.731268731269	1.0	1.0	0.322580645161	0.7
Lachnospiraceae Moryella sp	0.725771967974	0.732267732268	1.0	1.0	2.0	0.733333333333
Prevotellaceae Prevotella intermedia	-0.222999154819	0.732267732268	1.0	1.0	0.0967741935484	0.133333333333
Clostridiales_Incertae_Sedis_XI gen sp	-0.653427847247	0.732267732268	1.0	1.0	0.0322580645161	0.1
Clostridiaceae_1 Clostridium perfringens	-0.653427847247	0.732267732268	1.0	1.0	0.0645161290323	0.2
Lachnospiraceae Roseburia sp	-0.841198424619	0.735264735265	1.0	1.0	0.0322580645161	0.2
Porphyromonadaceae Porphyromonas sp	-0.653427847247	0.749250749251	1.0	1.0	0.0322580645161	0.1
Lawsonellaceae Lawsonella clevelandensis	0.492726083686	0.768231768232	1.0	1.0	1.06451612903	0.633333333333
Tissierellia_incertae_sedis Ezakiella sp	0.599504039135	0.772227772228	1.0	1.0	0.774193548387	0.433333333333
Bifidobacteriaceae Bifidobacterium bifidum	0.942621432955	0.785214785215	1.0	1.0	4.90322580645	0.2
Porphyromonadaceae Porphyromonas asaccharolytica	-0.244929599088	0.826173826174	1.0	1.0	1.32258064516	1.6
Bifidobacteriaceae gen sp	0.215240136717	0.827172827173	1.0	1.0	0.903225806452	0.766666666667
Prevotellaceae Prevotella ihumii	-0.510739896397	0.836163836164	1.0	1.0	2.70967741935	4.8
Peptoniphilaceae Murdochiella sp	-0.285313964073	0.842157842158	1.0	1.0	0.129032258065	0.166666666667
Clostridiales_Incertae_Sedis_XI Fenollaria massiliensis	0.250691746799	0.849150849151	1.0	1.0	1.29032258065	1.0
Veillonellaceae Negativicoccus succinicivorans	0.425207669804	0.853146853147	1.0	1.0	0.0645161290323	0.0333333333333
Corynebacteriaceae Corynebacterium pseudogenitalium	0.233701058848	0.859140859141	1.0	1.0	3.09677419355	2.4
Prevotellaceae Prevotella bivia	0.165790063577	0.861138861139	1.0	1.0	131.677419355	119.4
Peptoniphilaceae Finegoldia magna	0.574432229587	0.878121878122	1.0	1.0	1.96774193548	0.933333333333
Mycoplasmataceae Mycoplasma hominis	-0.245099022162	0.879120879121	1.0	1.0	2.35483870968	2.86666666667
Peptoniphilaceae Parvimonas sp_KA00581	-0.189517836952	0.883116883117	1.0	1.0	4.41935483871	4.86666666667
Bifidobacteriaceae Bifidobacterium sp	-0.101855793645	0.884115884116	1.0	1.0	1.54838709677	1.76666666667
Veillonellaceae Veillonella parvula	0.983469935867	0.891108891109	1.0	1.0	0.41935483871	0.0
Porphyromonadaceae Porphyromonadaceae sp_DNF00129	-0.158024626598	0.899100899101	1.0	1.0	12.5483870968	14.4
Peptoniphilaceae Peptoniphilus coxii	0.432437306554	0.935064935065	1.0	1.0	7.29032258065	4.23333333333
Peptoniphilaceae Finegoldia sp	0.555187131385	0.935064935065	1.0	1.0	0.0645161290323	0.0333333333333
Aerococcaceae Aerococcus christensenii	-0.0735827863284	0.943056943057	1.0	1.0	62.0	64.4666666667
Veillonellaceae Veillonella montpellierensis	-0.305364651845	0.944055944056	1.0	1.0	32.6451612903	44.6333333333
Peptostreptococcaceae Peptostreptococcus anaerobius	0.0585557178066	0.952047952048	1.0	1.0	11.0322580645	10.7
Peptoniphilaceae Clostridiales sp_KA00134	-0.0389817995833	0.972027972028	1.0	1.0	0.129032258065	0.133333333333
Prevotellaceae Prevotella melaninogenica	0.0292110466716	0.976023976024	1.0	1.0	14.1290322581	13.7
Ruminococcaceae Mageeibacillus indolicus	0.0324733926944	0.979020979021	1.0	1.0	2.90322580645	2.83333333333
Pasteurellaceae Haemophilus parainfluenzae	0.0511832479429	0.981018981019	1.0	1.0	0.322580645161	0.3
Enterobacteriaceae Escherichia/Shigella sp	0.464106457166	0.987012987013	1.0	1.0	0.903225806452	0.433333333333
Sutterellaceae Sutterella morbirenis	-0.0264199324828	0.997002997003	1.0	1.0	0.0967741935484	0.1
Prevotellaceae Prevotella sp_S7-1-8	-0.0019636361921	1.0	1.0	1.0	28.2258064516	28.2666666667
Porphyromonadaceae gen sp	0.499402936408	1.0	1.0	1.0	37.4516129032	18.4666666667
Veillonellaceae Selenomonas sp	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Prevotellaceae Paraprevotella sp	0.983469935867	1.0	1.0	1.0	0.0967741935484	0.0
Corynebacteriaceae Corynebacterium riegelii	0.425207669804	1.0	1.0	1.0	0.0645161290323	0.0333333333333
Actinomycetaceae Actinomyces neuii	0.983469935867	1.0	1.0	1.0	5.32258064516	0.0
Enterococcaceae Enterococcus sp	0.707651729865	1.0	1.0	1.0	0.129032258065	0.0333333333333
Brevibacteriaceae Brevibacterium sp	0.739613892484	1.0	1.0	1.0	0.58064516129	0.133333333333
Intrasporangiaceae Janibacter sp	0.983469935867	1.0	1.0	1.0	0.0967741935484	0.0
Prevotellaceae Prevotella brunnea	0.983469935867	1.0	1.0	1.0	0.161290322581	0.0
Coriobacteriaceae Parvibacter sp	0.186473972458	1.0	1.0	1.0	0.741935483871	0.6
Desulfovibrionaceae Bilophila wadsworthia	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Pasteurellaceae Pasteurella bettyae	0.983469935867	1.0	1.0	1.0	1.06451612903	0.0
Micrococcaceae Micrococcus sp	-0.0231870504336	1.0	1.0	1.0	0.0322580645161	0.0333333333333
Ruminococcaceae Saccharofermentans sp	0.983469935867	1.0	1.0	1.0	0.548387096774	0.0
Enterobacteriaceae Proteus sp	0.983469935867	1.0	1.0	1.0	0.483870967742	0.0
Microbacteriaceae Pseudoclavibacter sp	0.983469935867	1.0	1.0	1.0	0.129032258065	0.0
Sutterellaceae Sutterella stercoricanis	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Porphyromonadaceae Porphyromonas somerae	0.983469935867	1.0	1.0	1.0	0.0645161290323	0.0
Xanthomonadaceae Luteimonas sp	-0.0231870504336	1.0	1.0	1.0	0.0322580645161	0.0333333333333
Carnobacteriaceae Granulicatella sp	0.983469935867	1.0	1.0	1.0	0.451612903226	0.0
Aerococcaceae Globicatella sp	0.983469935867	1.0	1.0	1.0	0.322580645161	0.0
Lachnospiraceae Catonella sp	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Microbacteriaceae Pseudoclavibacter faecalis	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Moraxellaceae Moraxella osloensis	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Sutterellaceae Sutterella sp	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Lachnospiraceae Oribacterium sp	0.983469935867	1.0	1.0	1.0	0.0322580645161	0.0
Flavobacteriaceae Chryseobacterium sp	0.983469935867	1.0	1.0	1.0	0.0645161290323	0.0
Porphyromonadaceae Porphyromonas gingivalis	nan	nan	1.0	nan	0.0	0.0
Mycoplasmataceae Candidatus_Mycoplasma girerdii	nan	nan	1.0	nan	0.0	0.0
Prevotellaceae gen sp	nan	nan	1.0	nan	0.0	0.0
Fusobacteriaceae Fusobacterium sp	nan	nan	1.0	nan	0.0	0.0
Prevotellaceae Alloprevotella rava	nan	nan	1.0	nan	0.0	0.0
Bacillales_Incertae_Sedis_XI Gemella sp	nan	nan	1.0	nan	0.0	0.0
Comamonadaceae Pelomonas sp	nan	nan	1.0	nan	0.0	0.0
Campylobacteraceae Campylobacter sp	nan	nan	1.0	nan	0.0	0.0
Corynebacteriaceae Corynebacterium genitalium	nan	nan	1.0	nan	0.0	0.0
Peptostreptococcaceae Filifactor alocis	nan	nan	1.0	nan	0.0	0.0
Neisseriaceae Neisseria gonorrhoeae	nan	nan	1.0	nan	0.0	0.0
Dermabacteraceae Dermabacter hominis	nan	nan	1.0	nan	0.0	0.0
Dermabacteraceae Brachybacterium sp	nan	nan	1.0	nan	0.0	0.0
Carnobacteriaceae gen sp	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Ruminococcus sp	nan	nan	1.0	nan	0.0	0.0
Neisseriaceae Neisseria sp	nan	nan	1.0	nan	0.0	0.0
Lachnospiraceae Ruminococcus faecis	nan	nan	1.0	nan	0.0	0.0
Sutterellaceae Parasutterella excrementihominis	nan	nan	1.0	nan	0.0	0.0
Veillonellaceae Megasphaera stantonii	nan	nan	1.0	nan	0.0	0.0
Aerococcaceae Facklamia sp	nan	nan	1.0	nan	0.0	0.0
Lachnospiraceae Blautia obeum	nan	nan	1.0	nan	0.0	0.0
Actinomycetaceae Actinomyces funkei	nan	nan	1.0	nan	0.0	0.0
Bradyrhizobiaceae Afipia sp	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Gemmiger formicilis	nan	nan	1.0	nan	0.0	0.0
Peptoniphilaceae Anaerococcus hydrogenalis	nan	nan	1.0	nan	0.0	0.0
Bradyrhizobiaceae Bradyrhizobium sp	nan	nan	1.0	nan	0.0	0.0
Brevibacteriaceae Brevibacterium paucivorans	nan	nan	1.0	nan	0.0	0.0
Synergistaceae Fretibacterium sp	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Sporobacter sp	nan	nan	1.0	nan	0.0	0.0
Lachnospiraceae Ruminococcus torques	nan	nan	1.0	nan	0.0	0.0
Peptoniphilaceae Parvimonas micra	nan	nan	1.0	nan	0.0	0.0
Burkholderiales_incertae_sedis Aquabacterium sp	nan	nan	1.0	nan	0.0	0.0
Enterobacteriaceae Serratia sp	nan	nan	1.0	nan	0.0	0.0
Clostridiaceae_1 Clostridium colicanis	nan	nan	1.0	nan	0.0	0.0
Lachnospiraceae Dorea formicigenerans	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Marseillibacter massiliensis	nan	nan	1.0	nan	0.0	0.0
Dermabacteraceae Helcobacillus sp	nan	nan	1.0	nan	0.0	0.0
Actinomycetaceae Actinomyces sp	nan	nan	1.0	nan	0.0	0.0
Micrococcaceae Rothia mucilaginosa	nan	nan	1.0	nan	0.0	0.0
Desulfobacteraceae Desulfatiglans anilini	nan	nan	1.0	nan	0.0	0.0
Brevibacteriaceae gen sp	nan	nan	1.0	nan	0.0	0.0
Leptotrichiaceae Streptobacillus sp	nan	nan	1.0	nan	0.0	0.0
Chlamydiaceae Chlamydia trachomatis	nan	nan	1.0	nan	0.0	0.0
Carnobacteriaceae Trichococcus sp	nan	nan	1.0	nan	0.0	0.0
Peptostreptococcaceae Terrisporobacter sp	nan	nan	1.0	nan	0.0	0.0
Alcaligenaceae Oligella urethralis	nan	nan	1.0	nan	0.0	0.0
Xanthomonadaceae Thermomonas sp	nan	nan	1.0	nan	0.0	0.0
Bacillaceae_1 Bacillus sp	nan	nan	1.0	nan	0.0	0.0
Spirochaetaceae Treponema sp	nan	nan	1.0	nan	0.0	0.0
Mycoplasmataceae Mycoplasma sp	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Intestinimonas sp	nan	nan	1.0	nan	0.0	0.0
Micrococcaceae Micrococcus lylae	nan	nan	1.0	nan	0.0	0.0
Brevibacteriaceae Brevibacterium luteolum	nan	nan	1.0	nan	0.0	0.0
Clostridiaceae_1 Clostridium ventriculi	nan	nan	1.0	nan	0.0	0.0
Prevotellaceae Alloprevotella sp	nan	nan	1.0	nan	0.0	0.0
Spirochaetaceae Sphaerochaeta sp	nan	nan	1.0	nan	0.0	0.0
Porphyromonadaceae Tannerella forsythia	nan	nan	1.0	nan	0.0	0.0
Mycoplasmataceae Mycoplasma salivarium	nan	nan	1.0	nan	0.0	0.0
Actinomycetaceae Schaalia odontolytica	nan	nan	1.0	nan	0.0	0.0
Peptostreptococcaceae Peptoanaerobacter stomatis	nan	nan	1.0	nan	0.0	0.0
Ruminococcaceae Gemmiger sp	nan	nan	1.0	nan	0.0	0.0
Erysipelotrichaceae Catenibacterium mitsuokai	nan	nan	1.0	nan	0.0	0.0
Veillonellaceae Mitsuokella jalaludinii	nan	nan	1.0	nan	0.0	0.0
Lachnospiraceae Murimonas sp	nan	nan	1.0	nan	0.0	0.0
Staphylococcaceae Nosocomiicoccus massiliensis	nan	nan	1.0	nan	0.0	0.0
Microbacteriaceae Microbacterium lacticum	nan	nan	1.0	nan	0.0	0.0
Campylobacteraceae Campylobacter hominis	nan	nan	1.0	nan	0.0	0.0
Comamonadaceae Comamonas sp	nan	nan	1.0	nan	0.0	0.0
Veillonellaceae Mitsuokella sp	nan	nan	1.0	nan	0.0	0.0
Porphyromonadaceae Porphyromonas endodontalis	nan	nan	1.0	nan	0.0	0.0
Carnobacteriaceae Granulicatella adiacens	nan	nan	1.0	nan	0.0	0.0
Eubacteriaceae Eubacterium sp	nan	nan	1.0	nan	0.0	0.0
Comamonadaceae Variovorax sp	nan	nan	1.0	nan	0.0	0.0
Corynebacteriaceae Corynebacterium massiliense	nan	nan	1.0	nan	0.0	0.0
